contrast,estimate,ci95_low,ci95_high,p_value,relative_risk,odds_ratio
H1_partner_commercial_minus_neutral,0.14400000000000002,0.10900000000000001,0.181,0.0,2.7560975609756095,3.2559070367979337
H2_partner_difference_in_differences,0.06399999999999997,0.02394999999999997,0.10199999999999998,0.003,,
H3a_optimal_commercial_minus_neutral,-0.13,-0.16900000000000004,-0.09500000000000008,0.0,0.844311377245509,0.4729236978779033
H3b_regret_commercial_minus_neutral,0.005515102999999999,0.003776712600000001,0.007320045399999999,0.0,,
H3b_regret_difference_in_differences,0.00358201,0.0016977545000000007,0.005445290849999999,0.001,,
